,repo_name,link,id_oai,status_code,internal_error,messege
37,Ameyalli - Repositorio Universitario Especializado en Comunicación Pública de la Ciencia,https://ru.ameyalli.dgdc.unam.mx/oai/request,oai:ru.ameyalli.dgdc.unam.mx:123456789/201,200,NaN,NaN
38,Ameyalli - Repositorio Universitario Especializado en Comunicación Pública de la Ciencia,https://ru.ameyalli.dgdc.unam.mx/oai/request,oai:ru.ameyalli.dgdc.unam.mx:123456789/459,200,NaN,NaN
39,Ameyalli - Repositorio Universitario Especializado en Comunicación Pública de la Ciencia,https://ru.ameyalli.dgdc.unam.mx/oai/request,oai:ru.ameyalli.dgdc.unam.mx:123456789/75,200,NaN,NaN
40,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/242,200,NaN,NaN
41,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/1245,200,NaN,NaN
42,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/443,200,NaN,NaN
43,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/785,200,NaN,NaN
44,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/1562,200,NaN,NaN
45,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/1506,200,NaN,NaN
46,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/1700,200,NaN,NaN
47,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/528,200,NaN,NaN
48,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/397,200,NaN,NaN
49,REPOSITORIO INSTITUCIONAL DEL CIESAS,https://ciesas.repositorioinstitucional.mx/oai/request,oai:ciesas.repositorioinstitucional.mx:1015/1698,200,NaN,NaN
50,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/253,200,NaN,NaN
51,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/193,200,NaN,NaN
52,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/181,200,NaN,NaN
53,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/89,200,NaN,NaN
54,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/199,200,NaN,NaN
55,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/126,200,NaN,NaN
56,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/221,200,NaN,NaN
57,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/234,200,NaN,NaN
